Episode,Score,Best Score,Average Score,Time Steps,Learning Steps,Game-win,Game win rate
309,-240.3853166586835,406.6644207012173,-164.58996985065502,24426,11,0,0.0
310,-133.46467394284343,406.6644207012173,-165.14365706538368,24499,11,0,0.0
311,-241.760121639643,406.6644207012173,-166.02898860081734,24553,11,0,0.0
312,-110.82018899174602,406.6644207012173,-166.2801593959239,24637,12,0,0.0
313,-249.95372527824694,406.6644207012173,-169.6266964693078,24693,12,0,0.0
314,-234.85816714694204,406.6644207012173,-170.31487691849304,24759,12,0,0.0
315,-118.27144099658587,406.6644207012173,-168.77600941873987,24812,12,0,0.0
316,-238.22921682204785,406.6644207012173,-161.15830158696036,24920,12,0,0.0
317,-98.84269066294931,406.6644207012173,-161.62006478999248,24994,12,0,0.0
318,-257.54811281307747,406.6644207012173,-162.89695341125187,25075,12,0,0.0
319,-284.0194112684722,406.6644207012173,-164.2847684913369,25139,12,0,0.0
320,-129.4270447483249,406.6644207012173,-165.1455508105526,25231,12,0,0.0
321,-244.09840528275075,406.6644207012173,-165.98029384750055,25280,12,0,0.0
322,-138.95385456604043,406.6644207012173,-168.7878597372428,25359,12,0,0.0
323,-68.15994530830721,406.6644207012173,-167.9395322270306,25413,12,0,0.0
324,-122.21432171662136,406.6644207012173,-167.64074298719862,25512,12,0,0.0
325,-102.70677139754825,406.6644207012173,-167.59741658504635,25578,12,0,0.0
326,-39.02433413006489,406.6644207012173,-165.15481479153996,25718,12,0,0.0
327,-113.94150443555127,406.6644207012173,-163.8586668280965,25784,12,0,0.0
328,-146.43776789663696,406.6644207012173,-163.59004715991512,25906,12,0,0.0
329,308.00475164431685,406.6644207012173,-159.39506314757767,26010,12,1,0.02
330,-260.5455425313781,406.6644207012173,-158.05757199890536,26073,12,0,0.02
331,-210.9805232312185,406.6644207012173,-157.12995756160853,26193,12,0,0.0
332,-115.10941369913374,406.6644207012173,-157.45545557177388,26270,12,0,0.0
333,-166.65197383980004,406.6644207012173,-157.05131894961,26302,12,0,0.0
334,-243.5713664063649,406.6644207012173,-157.0295233297169,26350,12,0,0.0
335,1.8832835628604272,406.6644207012173,-154.38845472920596,26444,12,0,0.0
336,-266.27850313140794,406.6644207012173,-155.43123689497273,26498,12,0,0.0
337,-180.57632878463647,406.6644207012173,-156.20073296644568,26570,12,0,0.0
338,-153.6210343674913,406.6644207012173,-155.05437723354373,26636,13,0,0.0
339,-85.6079413592982,406.6644207012173,-154.84143345602013,26736,13,0,0.0
340,-186.008428527915,406.6644207012173,-154.9467266295539,26811,13,0,0.0
341,-137.3786424515902,406.6644207012173,-154.63355008321176,26844,13,0,0.0
342,-275.23350990627034,406.6644207012173,-156.3964187404664,26895,13,0,0.0
343,-180.91277418284287,406.6644207012173,-156.81452557285934,26943,13,0,0.0
344,-256.33779789849586,406.6644207012173,-160.2991087738244,27002,13,0,0.0
345,-262.028508332712,406.6644207012173,-161.40950754765757,27063,13,0,0.0
346,-262.0887771296471,406.6644207012173,-162.88803360808842,27127,13,0,0.0
347,-193.0728190476125,406.6644207012173,-161.9733858668081,27181,13,0,0.0
348,-152.2838511014709,406.6644207012173,-160.7752626935962,27227,13,0,0.0
349,-240.72527288626253,406.6644207012173,-160.5352710272831,27311,13,0,0.0
350,-205.25808093801538,406.6644207012173,-161.29397296597799,27364,13,0,0.0
351,-186.0982323156042,406.6644207012173,-160.45211524898107,27431,13,0,0.0
352,-115.37862481649032,406.6644207012173,-157.63975561826786,27464,13,0,0.0
353,-173.68098047417317,406.6644207012173,-158.9124564381483,27509,13,0,0.0
354,-143.59765695020883,406.6644207012173,-159.12061507414464,27582,13,0,0.0
